"Google Mobile Украина, язык интерфейса: українська"
"Ключевое слово",URL,Частотность,Динамика,2025-09-16,2025-09-23,2025-09-25,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-05,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
"тетрада зошити",https://avrora.ua/zoshiti-tetrada/,70,0,9,5,"Нет данных",6,5,6,6,6,6,6,"Нет данных",6,6,7,9,9,9
"зошит тетрада",https://avrora.ua/zoshiti-tetrada/,50,14,20,11,"Нет данных",11,5,5,10,8,7,7,"Нет данных",8,6,7,7,6,6
"зошити тетрада",https://avrora.ua/zoshiti-tetrada/,50,5,12,6,"Нет данных",7,7,7,6,7,7,7,"Нет данных",7,7,9,5,7,7
"купити зошити тетрада",https://avrora.ua/zoshiti-tetrada/,10,8,13,6,"Нет данных",6,6,6,7,6,7,7,"Нет данных",7,4,10,5,5,5
"предметні зошити kite",https://avrora.ua/zoshiti-kite/,210,78,-,-,"Нет данных",-,-,-,-,16,18,17,"Нет данных",17,17,14,-,21,22
"зошити кайт",https://avrora.ua/zoshiti-kite/,170,21,27,25,"Нет данных",15,15,15,14,14,14,-,"Нет данных",16,6,8,16,14,6
"зошити kite",https://avrora.ua/zoshiti-kite/,170,-6,13,17,"Нет данных",13,16,20,16,16,19,17,"Нет данных",18,13,15,17,17,19
"kite зошити",https://avrora.ua/zoshiti-kite/,140,1,15,23,"Нет данных",16,23,22,16,14,14,14,"Нет данных",15,-,15,17,19,14
"зошити kite предметні",https://avrora.ua/zoshiti-kite/,70,79,-,-,"Нет данных",18,17,16,17,15,20,22,"Нет данных",-,-,15,26,24,21
"зошит kite",https://avrora.ua/zoshiti-kite/,40,28,45,20,"Нет данных",-,21,-,17,18,11,11,"Нет данных",12,12,10,38,17,17
"зошити кіте",https://avrora.ua/zoshiti-kite/,30,6,10,-,"Нет данных",14,7,5,6,8,8,7,"Нет данных",8,5,6,12,7,4
"патріотичні зошити kite",https://avrora.ua/zoshiti-kite/,10,1,22,28,"Нет данных",32,28,32,-,28,31,29,"Нет данных",30,30,27,-,31,21
"зошити yes",https://avrora.ua/zoshiti-yes/,140,-5,7,4,"Нет данных",5,9,5,5,7,8,6,"Нет данных",4,4,6,6,5,12
"предметні зошити yes",https://avrora.ua/zoshiti/,110,-20,30,41,"Нет данных",25,23,18,36,34,40,31,"Нет данных",15,22,28,20,50,50
"yes зошити",https://avrora.ua/zoshiti-yes/,70,-4,10,5,"Нет данных",4,6,5,6,6,11,11,"Нет данных",5,5,5,10,12,14
"зошити yes купити",https://avrora.ua/zoshiti-yes/,20,2,14,5,"Нет данных",5,6,5,8,11,7,8,"Нет данных",6,7,7,8,15,12
"щоденник шкільний",https://avrora.ua/shkilni-schodenniki/,410,6,7,7,"Нет данных",6,7,8,9,7,9,12,"Нет данных",7,8,8,8,3,1
"шкільні щоденники",https://avrora.ua/shkilni-schodenniki/,10,0,6,9,"Нет данных",7,7,6,8,10,10,8,"Нет данных",8,5,9,8,8,6
"купити щоденник шкільний",https://avrora.ua/shkilni-schodenniki/,210,0,3,7,"Нет данных",7,7,7,7,7,8,8,"Нет данных",7,7,7,7,8,3
"купити щоденник шкільний для хлопчика",https://avrora.ua/shkilni-schodenniki/,260,13,20,16,"Нет данных",17,17,16,14,13,12,12,"Нет данных",10,9,11,9,11,7
"купити шкільний щоденник",https://avrora.ua/shkilni-schodenniki/,140,1,4,7,"Нет данных",7,8,8,10,8,7,8,"Нет данных",5,8,8,7,8,3
"купить шкільний щоденник",https://avrora.ua/shkilni-schodenniki/,140,0,10,9,"Нет данных",7,8,4,7,8,8,8,"Нет данных",8,9,10,10,10,10
"щоденник шкільний купити",https://avrora.ua/shkilni-schodenniki/,170,1,5,6,"Нет данных",7,4,4,7,6,3,5,"Нет данных",3,5,7,6,8,4
"шкільний щоденник купити",https://avrora.ua/shkilni-schodenniki/,90,-4,5,7,"Нет данных",7,8,8,10,8,8,8,"Нет данных",7,9,9,8,12,9
"щоденник купити шкільний",https://avrora.ua/shkilni-schodenniki/,70,4,7,7,"Нет данных",7,8,8,8,7,8,8,"Нет данных",7,8,7,7,7,3
"щоденник шкільний білий",https://avrora.ua/kanctovari-knigi-hobi/,10,-45,7,7,"Нет данных",7,8,7,6,56,62,35,"Нет данных",39,51,49,48,62,52
"щоденник шкільний мандарин",https://avrora.ua/schodennik-shkilniy-disney-v-asortimenti-165h205-sm/,10,-36,5,6,"Нет данных",8,7,7,6,7,7,7,"Нет данных",7,6,8,8,63,41
"щоденник шкільний ціна",https://avrora.ua/shkilni-schodenniki/,10,0,8,11,"Нет данных",36,9,12,8,8,12,13,"Нет данных",13,13,14,12,16,8
"обкладинки для зошитів",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,480,-2,2,2,"Нет данных",1,1,1,1,1,1,1,"Нет данных",1,2,3,3,3,4
"обкладинка для зошита",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,590,-7,4,7,"Нет данных",7,5,5,5,5,7,7,"Нет данных",8,4,7,8,8,11
"обкладинки на зошити",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,260,-1,11,3,"Нет данных",6,2,1,1,3,3,2,"Нет данных",3,4,3,3,2,12
"обкладинки на зошит",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,170,-5,6,5,"Нет данных",9,2,2,3,3,3,2,"Нет данных",6,3,3,3,4,11
"обкладинки для підручників",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,90,-12,1,4,"Нет данных",3,1,2,4,4,4,4,"Нет данных",4,10,10,9,2,13
"обгортки для зошитів",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,140,-9,4,8,"Нет данных",8,4,5,4,4,5,4,"Нет данных",5,2,7,5,4,13
"обгортки на зошити",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,70,-1,11,10,"Нет данных",10,4,3,4,11,7,7,"Нет данных",5,3,5,4,3,12
"обкладинки на підручники",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,40,-15,1,1,"Нет данных",4,1,1,1,3,3,3,"Нет данных",2,2,9,9,10,16
"обкладинка зошита",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,20,2,14,9,"Нет данных",7,11,11,10,12,13,10,"Нет данных",12,12,13,12,12,12
"купити обкладинки на зошити",https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,10,-5,10,4,"Нет данных",3,1,1,1,3,-,2,"Нет данных",3,4,5,4,4,15
"пенали шкільні",https://avrora.ua/penali/,10,4,8,9,"Нет данных",8,9,9,9,8,8,8,"Нет данных",7,6,13,6,12,4
пенали,https://avrora.ua/penali/,360,5,9,11,"Нет данных",10,6,10,11,11,11,11,"Нет данных",8,6,14,5,13,4
"шкільні пенали",https://avrora.ua/penali/,320,5,10,11,"Нет данных",11,10,9,5,6,10,8,"Нет данных",12,5,18,8,13,5
"великі пенали",https://avrora.ua/penali/,170,96,-,-,"Нет данных",13,10,11,-,11,10,10,"Нет данных",12,7,15,5,22,4
"дитячі пенали",https://avrora.ua/penali/,50,10,14,16,"Нет данных",15,6,11,13,5,-,5,"Нет данных",13,6,25,5,26,4
"пенали для дівчаток",https://avrora.ua/penali-dlya-divchatok/,390,-1,10,14,"Нет данных",11,13,12,10,14,13,-,"Нет данных",14,16,12,20,19,11
"пенали для дівчат підлітків",https://avrora.ua/penali-dlya-divchatok/,170,24,37,32,"Нет данных",13,13,14,-,13,13,13,"Нет данных",11,16,20,19,18,13
"шкільні пенали для дівчаток",https://avrora.ua/penali/,140,0,26,21,"Нет данных",25,18,18,35,39,18,29,"Нет данных",-,24,27,19,22,26
"пенали для дівчат",https://avrora.ua/penali-dlya-divchatok/,70,2,8,44,"Нет данных",13,14,15,14,17,16,16,"Нет данных",17,14,13,16,12,6
"дівчачі пенали",https://avrora.ua/dityachi-tovari-ta-igrashki/,70,31,-,88,"Нет данных",30,42,38,13,15,46,45,"Нет данных",16,15,12,23,44,69
"пенали до школи для дівчат",https://avrora.ua/penali-dlya-divchatok/,10,11,21,19,"Нет данных",12,15,13,13,14,16,15,"Нет данных",15,17,21,30,23,10
"пенали для хлопців",https://avrora.ua/penali/,50,88,-,15,"Нет данных",14,21,20,21,21,21,22,"Нет данных",15,10,19,10,21,12
"пенали для хлопчиків",https://avrora.ua/penali/,110,-1,10,10,"Нет данных",12,22,-,23,15,18,21,"Нет данных",15,12,15,10,22,11
"шкільні пенали для хлопчиків",https://avrora.ua/penali/,70,5,25,23,"Нет данных",22,25,26,26,15,33,33,"Нет данных",22,17,24,20,27,20
"рюкзак шкільний",https://avrora.ua/shkilni-ryukzaki-portfeli/,330,-12,21,-,"Нет данных",19,20,18,19,21,21,22,"Нет данных",19,20,21,21,35,33
"шкільні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,810,14,32,27,"Нет данных",27,13,27,32,14,15,15,"Нет данных",23,14,16,33,38,18
"шкільний рюкзак",https://avrora.ua/shkilni-ryukzaki-portfeli/,1300,-24,16,20,"Нет данных",17,17,17,18,17,17,18,"Нет данных",20,18,25,20,31,40
"купити рюкзак шкільний",https://avrora.ua/shkilni-ryukzaki-portfeli/,100,-8,32,28,"Нет данных",26,29,18,34,35,33,37,"Нет данных",31,33,29,32,33,40
"купити шкільний рюкзак",https://avrora.ua/shkilni-ryukzaki-portfeli/,390,-15,26,24,"Нет данных",24,25,17,30,26,24,23,"Нет данных",29,31,29,31,31,41
"купити шкільні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,390,-41,33,36,"Нет данных",37,28,33,30,27,20,16,"Нет данных",25,26,29,32,48,74
"портфелі шкільні",https://avrora.ua/shkilni-ryukzaki-portfeli/,590,-2,13,15,"Нет данных",12,11,9,13,12,12,12,"Нет данных",12,13,15,17,21,15
"шкільні сумки",https://avrora.ua/koshiki-dlya-zberigannya/,390,-25,31,-,"Нет данных",-,12,30,27,32,15,25,"Нет данных",18,16,58,60,56,56
"рюкзак дитячий шкільний",https://avrora.ua/tovari-dlya-domu/,390,41,-,16,"Нет данных",20,15,15,27,27,31,29,"Нет данных",30,28,60,46,51,59
"сумки шкільні",https://avrora.ua/shkilni-ryukzaki-portfeli/,390,-21,41,-,"Нет данных",46,10,21,20,27,44,24,"Нет данных",11,35,36,44,40,62
"шкільні портфелі",https://avrora.ua/shkilni-ryukzaki-portfeli/,260,9,28,32,"Нет данных",-,31,-,34,36,27,26,"Нет данных",28,28,27,29,33,19
"ранець шкільний",https://avrora.ua/shkilni-ryukzaki-portfeli/,320,-22,29,16,"Нет данных",21,22,19,19,34,39,39,"Нет данных",39,31,42,35,42,51
"купити шкільний рюкзак недорого",https://avrora.ua/ryukzaki/,210,-3,26,28,"Нет данных",29,31,30,22,23,19,23,"Нет данных",25,25,32,32,36,29
"найкращі шкільні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,140,-65,35,40,"Нет данных",-,46,48,48,46,47,49,"Нет данных",56,29,63,55,35,-
"дитячий шкільний рюкзак",https://avrora.ua/shkilni-ryukzaki-portfeli/,140,0,-,-,"Нет данных",22,14,13,30,-,28,28,"Нет данных",27,30,57,51,44,-
"дитячі шкільні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,90,-53,38,31,"Нет данных",38,22,-,26,20,21,23,"Нет данных",24,30,29,28,63,91
"рюкзак шкільний купити",https://avrora.ua/shkilni-ryukzaki-portfeli/,110,-64,27,26,"Нет данных",24,26,27,28,31,32,34,"Нет данных",31,30,27,48,54,91
"шкільні рюкзаки оптом",https://avrora.ua/tovari-dlya-domu/,110,17,59,52,"Нет данных",52,41,45,47,45,46,44,"Нет данных",55,47,44,42,52,42
"шкільний ранець",https://avrora.ua/shkilni-ryukzaki-portfeli/,70,85,-,24,"Нет данных",17,17,17,18,16,15,15,"Нет данных",13,30,41,35,41,15
"шкільний рюкзак купити",https://avrora.ua/shkilni-ryukzaki-portfeli/,90,-31,35,23,"Нет данных",24,28,24,37,-,28,30,"Нет данных",27,30,28,39,38,66
"купити портфель шкільний",https://avrora.ua/shkilni-ryukzaki-portfeli/,70,-14,22,21,"Нет данных",24,15,20,16,19,21,18,"Нет данных",21,24,27,31,36,36
"купити дитячий шкільний рюкзак",https://avrora.ua/ryukzaki/,30,-58,32,-,"Нет данных",28,28,23,31,27,25,25,"Нет данных",26,25,36,50,42,90
"купити шкільний портфель",https://avrora.ua/shkilni-ryukzaki-portfeli/,30,0,36,27,"Нет данных",19,16,-,28,24,16,15,"Нет данных",24,29,34,33,32,36
"рюкзаки шкільні оптом",https://avrora.ua/tovari-dlya-domu/,30,3,51,51,"Нет данных",42,43,-,-,43,56,45,"Нет данных",42,47,41,38,53,48
"шкільні рюкзаки купити",https://avrora.ua/shkilni-ryukzaki-portfeli/,20,-52,31,48,"Нет данных",44,42,43,35,21,18,24,"Нет данных",23,24,25,29,53,83
"дешеві шкільні рюкзаки",https://avrora.ua/ryukzaki/,20,-1,64,72,"Нет данных",-,48,-,26,69,19,58,"Нет данных",72,27,65,66,63,65
"замовити шкільний рюкзак",https://avrora.ua/shkilni-ryukzaki-portfeli/,10,-56,33,25,"Нет данных",33,37,51,38,51,26,49,"Нет данных",25,51,45,48,68,89
"купити ранець шкільний",https://avrora.ua/shkilni-ryukzaki-portfeli/,20,-29,35,37,"Нет данных",39,28,31,29,24,22,24,"Нет данных",27,29,31,46,31,64
"шкільні каркасні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,20,0,-,-,"Нет данных",-,68,77,-,59,-,61,"Нет данных",60,62,73,-,-,-
"шкільні ранці",https://avrora.ua/shkilni-ryukzaki-portfeli/,20,-40,51,65,"Нет данных",-,49,-,57,60,70,32,"Нет данных",34,43,28,33,-,91
"якісні шкільні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,10,1,21,14,"Нет данных",15,15,-,8,9,10,10,"Нет данных",14,10,16,14,20,20
"купити рюкзак шкільний недорого",https://avrora.ua/ryukzaki/,10,-27,42,36,"Нет данных",49,-,33,39,29,39,44,"Нет данных",52,29,69,74,52,69
"портфель шкільний купити",https://avrora.ua/ryukzaki/,10,-42,32,21,"Нет данных",20,15,62,16,18,17,17,"Нет данных",14,16,20,38,43,74
"фірмові шкільні рюкзаки",https://avrora.ua/shkilni-ryukzaki-portfeli/,10,-43,10,20,"Нет данных",47,13,13,13,14,12,5,"Нет данных",7,12,12,14,63,53
"шкільний ранець купити",https://avrora.ua/shkilni-ryukzaki-portfeli/,10,-16,44,36,"Нет данных",40,33,17,25,37,21,21,"Нет данных",21,38,52,54,71,60
"рюкзак для змінного взуття",https://avrora.ua/ryukzaki-dlya-zminnogo-vzuttya/,50,32,45,-,"Нет данных",37,24,26,34,28,36,38,"Нет данных",33,35,42,31,39,13
"засоби по догляду за тілом",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,-1,7,9,"Нет данных",7,9,8,8,10,9,8,"Нет данных",13,8,11,11,7,8
"косметичні засоби по догляду за тілом",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,1,10,-,"Нет данных",9,10,9,11,10,9,9,"Нет данных",7,6,9,8,11,9
"косметика по догляду за тілом",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,0,14,11,"Нет данных",16,16,16,14,21,12,11,"Нет данных",14,14,17,17,19,14
"засоби по догляду за тілом інтернет магазин",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,-2,9,8,"Нет данных",8,10,9,9,9,8,10,"Нет данных",9,5,9,11,13,11
"косметика по догляду за тілом купити",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,-3,8,7,"Нет данных",7,10,10,10,10,10,9,"Нет данных",13,8,16,12,10,11
"засоби по догляду за тілом купити",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,0,8,7,"Нет данных",8,7,7,8,9,8,8,"Нет данных",7,7,9,10,7,8
"купити засоби по догляду за тілом",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,-1,6,7,"Нет данных",8,7,8,7,9,8,8,"Нет данных",8,8,11,9,8,7
"товари по догляду за тілом",https://avrora.ua/nabori-podarunkovi-po-doglyadu-za-tilom/,0,2,7,7,"Нет данных",7,7,7,9,8,7,7,"Нет данных",8,11,10,6,6,5
"купити косметику по догляду за тілом",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,1,12,8,"Нет данных",7,7,7,11,8,8,9,"Нет данных",7,11,13,15,10,11
"інтернет магазин засобів по догляду за тілом",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,0,10,9,"Нет данных",8,7,9,9,8,10,9,"Нет данных",6,6,9,10,9,10
"косметика по догляду за тілом інтернет магазин",https://avrora.ua/sredstva-po-uhodu-za-telom/,0,59,-,19,"Нет данных",13,16,14,18,15,11,12,"Нет данных",15,11,27,26,25,41
"засоби по догляду за тілом axe",https://avrora.ua/zasobi-po-doglyadu-za-tilom-brendu-axe/,0,-1,1,1,"Нет данных",2,2,2,2,1,2,2,"Нет данных",1,2,1,4,1,2
"купити засоби по догляду за тілом axe",https://avrora.ua/zasobi-po-doglyadu-za-tilom-brendu-axe/,0,0,3,3,"Нет данных",6,4,3,2,3,3,-,"Нет данных",1,5,3,4,5,3
"засоби по догляду за тілом divia",https://avrora.ua/divia/,0,-1,5,2,"Нет данных",3,3,2,2,4,4,3,"Нет данных",2,5,6,6,6,6
"купити засоби по догляду за тілом divia",https://avrora.ua/divia/,0,-1,4,6,"Нет данных",4,4,1,4,3,5,5,"Нет данных",3,5,7,6,8,5
